ID,Age,Rotten Tomatoes,Netflix,Disney+
879,0,64,1,0
880,0,64,1,0
881,5,64,1,0
882,4,64,1,0
883,5,64,1,0
884,5,64,1,0
885,0,64,1,0
886,0,64,1,0
887,5,64,1,0
888,5,64,1,0
889,5,64,1,0
890,2,64,1,0
891,5,64,1,0
892,2,64,1,0
893,0,64,1,0
894,0,64,1,0
895,3,64,1,0
896,0,64,1,0
897,0,64,1,0
898,5,64,1,0
899,2,64,1,0
900,3,64,1,0
901,0,64,1,0
902,5,64,1,0
903,0,64,1,0
904,5,64,1,0
905,0,64,1,0
906,3,64,1,0
907,5,64,1,0
908,0,64,1,0
909,5,64,1,0
910,2,63,1,0
911,3,63,1,0
912,2,63,1,0
913,0,63,1,0
914,1,63,1,0
915,2,63,1,0
916,1,63,1,0
917,2,63,1,0
918,2,63,1,0
919,3,63,1,0
920,5,63,1,0
921,0,63,1,0
922,0,63,1,0
923,5,63,1,0
924,3,63,1,0
925,5,63,1,0
926,2,63,1,0
927,0,63,1,0
928,0,63,1,0
929,4,63,1,0
930,3,63,1,0
931,4,63,1,0
932,0,63,1,0
933,2,63,1,0
934,5,63,1,0
935,2,63,1,0
936,3,63,1,0
937,5,63,1,0
938,5,63,1,0
939,5,63,1,0
940,5,63,1,0
941,2,63,1,0
942,3,63,1,0
943,5,63,1,0
944,0,63,1,0
945,0,63,1,0
946,5,63,1,0
947,1,63,1,0
948,3,63,1,0
949,0,63,1,0
950,5,63,1,0
951,0,63,1,0
952,0,63,1,0
953,5,63,1,0
954,1,63,1,0
955,4,63,1,0
956,5,63,1,0
957,0,63,1,0
958,0,63,1,0
959,5,63,1,0
960,5,63,1,0
961,3,63,1,0
962,3,63,1,0
963,3,63,1,0
964,0,63,1,0
965,5,63,1,0
966,5,63,1,0
967,3,63,1,0
968,5,63,1,0
969,0,63,1,0
970,4,63,1,0
971,0,63,1,0
972,0,63,1,0
973,0,63,1,0
974,0,63,1,0
975,3,63,1,0
976,5,63,1,0
977,3,63,1,0
978,0,63,1,0
979,2,63,1,0
980,0,63,1,0
981,0,63,1,0
982,2,63,1,0
983,0,63,1,0
984,2,63,1,0
985,0,63,1,0
986,3,63,1,0
987,5,63,1,0
988,5,63,1,0
989,2,63,1,0
990,2,63,1,0
991,5,63,1,0
992,3,62,1,0
993,0,62,1,0
994,2,62,1,0
995,3,62,1,0
996,0,62,1,0
997,0,62,1,0
998,3,62,1,0
999,5,62,1,0
1000,0,62,1,0
1001,1,62,1,0
1002,2,62,1,0
1003,5,62,1,0
1004,5,62,1,0
1005,1,62,1,0
1006,4,62,1,0
1007,0,62,1,0
1008,3,62,1,0
1009,3,62,1,0
1010,5,62,1,0
1011,3,62,1,0
1012,5,62,1,0
1013,0,62,1,0
1014,5,62,1,0
1015,1,62,1,0
1016,2,62,1,0
1017,3,62,1,0
1018,5,62,1,0
1019,0,62,1,0
1020,5,62,1,0
1021,2,62,1,0
1022,5,62,1,0
1023,5,62,1,0
1024,5,62,1,0
1025,3,62,1,0
1026,5,62,1,0
1027,2,62,1,0
1028,0,62,1,0
1029,4,62,1,0
1030,5,62,1,0
1031,0,62,1,0
1032,0,62,1,0
1033,5,62,1,0
1034,2,62,1,0
1035,5,62,1,0
1036,3,62,1,0
1037,5,62,1,0
1038,5,62,1,0
1039,5,62,1,0
1040,0,62,1,0
1041,0,62,1,0
1042,0,62,1,0
1043,3,62,1,0
1044,5,62,1,0
1045,5,62,1,0
1046,4,62,1,0
1047,3,62,1,0
1048,3,62,1,0
1049,0,62,1,0
1050,0,62,1,0
1051,0,62,1,0
1052,2,62,1,0
1053,2,62,1,0
1054,5,62,1,0
1055,5,62,1,0
1056,2,62,1,0
1057,0,62,1,0
1058,5,61,1,0
1059,0,61,1,0
1060,0,61,1,0
1061,5,61,1,0
1062,5,61,1,0
1063,0,61,1,0
1064,0,61,1,0
1065,4,61,1,0
1066,3,61,1,0
1067,2,61,1,0
1068,0,61,1,0
1069,0,61,1,0
1070,5,61,1,0
1071,4,61,1,0
1072,5,61,1,0
1073,0,61,1,0
1074,5,61,1,0
1075,0,61,1,0
1076,2,61,1,0
1077,3,61,1,0
1078,5,61,1,0
1079,5,61,1,0
1080,4,61,1,0
1081,0,61,1,0
1082,1,61,1,0
1083,5,61,1,0
1084,4,61,1,0
1085,5,61,1,0
1086,4,61,1,0
1087,5,61,1,0
1088,5,61,1,0
1089,3,61,1,0
1090,0,61,1,0
1091,2,61,1,0
1092,5,61,1,0
1093,5,61,1,0
1094,5,61,1,0
1095,5,61,1,0
1096,5,61,1,0
1097,0,61,1,0
1098,0,61,1,0
1099,3,61,1,0
1100,2,61,1,0
1101,5,61,1,0
1102,0,61,1,0
1103,3,61,1,0
1104,0,61,1,0
1105,5,61,1,0
1106,3,61,1,0
1107,3,61,1,0
1108,0,61,1,0
1109,5,61,1,0
1110,4,61,1,0
1111,0,61,1,0
1112,0,61,1,0
1113,5,61,1,0
1114,0,61,1,0
1115,5,61,1,0
1116,5,61,1,0
1117,3,61,1,0
1118,3,61,1,0
1119,0,61,1,0
1120,4,61,1,0
1121,3,61,1,0
1122,5,61,1,0
1123,4,61,1,0
1124,5,61,1,0
1125,0,61,1,0
1126,5,61,1,0
1127,5,61,1,0
1128,5,61,1,0
1129,0,61,1,0
1130,2,61,1,0
1131,0,61,1,0
1132,3,60,1,0
1133,5,60,1,0
1134,1,60,1,0
1135,5,60,1,0
1136,0,60,1,0
1137,0,60,1,0
1138,5,60,1,0
1139,1,60,1,0
1140,4,60,1,0
1141,5,60,1,0
1142,5,60,1,0
1143,0,60,1,0
1144,3,60,1,0
1145,5,60,1,0
1146,3,60,1,0
1147,5,60,1,0
1148,0,60,1,0
1149,0,60,1,0
1150,0,60,1,0
1151,0,60,1,0
1152,5,60,1,0
1153,5,60,1,0
1154,2,60,1,0
1155,0,60,1,0
1156,3,60,1,0
1157,3,60,1,0
1158,3,60,1,0
1159,2,60,1,0
1160,3,60,1,0
1161,0,60,1,0
1162,5,60,1,0
1163,0,60,1,0
1164,2,60,1,0
1165,0,60,1,0
1166,0,60,1,0
1167,0,60,1,0
1168,5,60,1,0
1169,2,60,1,0
1170,0,60,1,0
1171,5,60,1,0
1172,0,60,1,0
1173,3,60,1,0
1174,2,60,1,0
1175,2,60,1,0
1176,0,60,1,0
1177,0,60,1,0
1178,3,60,1,0
1179,3,60,1,0
1180,5,60,1,0
1181,5,60,1,0
1182,0,60,1,0
1183,4,60,1,0
1184,0,60,1,0
1185,5,60,1,0
1186,0,60,1,0
1187,5,60,1,0
1188,3,60,1,0
1189,0,60,1,0
1190,2,60,1,0
1191,0,60,1,0
1192,2,60,1,0
1193,5,60,1,0
1194,0,60,1,0
1195,5,60,1,0
1196,0,60,1,0
1197,5,60,1,0
1198,0,60,1,0
1199,5,60,1,0
1200,5,60,1,0
1201,5,60,1,0
1202,0,60,1,0
1203,4,60,1,0
1204,5,60,1,0
1205,0,60,1,0
1206,3,60,1,0
1207,3,60,1,0
1208,5,60,1,0
1209,0,60,1,0
1210,2,60,1,0
1211,5,60,1,0
1212,5,60,1,0
1213,5,60,1,0
1214,1,60,1,0
1215,5,60,1,0
1216,2,60,1,0
1217,5,60,1,0
1218,1,60,1,0
1219,5,60,1,0
1220,4,60,1,0
1221,5,60,1,0
1222,0,60,1,0
1223,0,60,1,0
1224,0,60,1,0
1225,0,60,1,0
1226,5,60,1,0
1227,0,60,1,0
1228,0,60,1,0
1229,5,59,1,0
1230,3,59,1,0
1231,3,59,1,0
1232,2,59,1,0
1233,4,59,1,0
1234,0,59,1,0
1235,5,59,1,0
1236,0,59,1,0
1237,0,59,1,0
1238,5,59,1,0
1239,0,59,1,0
1240,5,59,1,0
1241,2,59,1,0
1242,3,59,1,0
1243,5,59,1,0
1244,5,59,1,0
1245,3,59,1,0
1246,0,59,1,0
1247,5,59,1,0
1248,2,59,1,0
1249,1,59,1,0
1250,0,59,1,0
1251,4,59,1,0
1252,0,59,1,0
1253,5,59,1,0
1254,5,59,1,0
1255,0,59,1,0
1256,4,59,1,0
1257,5,59,1,0
1258,2,59,1,0
1259,0,59,1,0
1260,5,59,1,0
1261,0,59,1,0
1262,3,59,1,0
1263,3,59,1,0
1264,2,59,1,0
1265,0,59,1,0
1266,2,59,1,0
1267,0,59,1,0
1268,0,59,1,0
1269,3,59,1,0
1270,5,59,1,0
1271,2,59,1,0
1272,3,59,1,0
1273,5,59,1,0
1274,5,59,1,0
1275,5,59,1,0
1276,0,59,1,0
1277,3,59,1,0
1278,0,59,1,0
1279,3,59,1,0
1280,0,59,1,0
1281,5,59,1,0
1282,0,59,1,0
1283,0,59,1,0
1284,5,59,1,0
1285,0,59,1,0
1286,0,59,1,0
1287,0,59,1,0
1288,3,59,1,0
1289,5,59,1,0
1290,5,59,1,0
1291,0,59,1,0
1292,5,59,1,0
1293,0,59,1,0
1294,5,59,1,0
1295,0,59,1,0
1296,5,59,1,0
1297,5,59,1,0
1298,0,59,1,0
1299,5,59,1,0
1300,0,59,1,0
1301,0,59,1,0
1302,3,59,1,0
1303,0,59,1,0
1304,2,59,1,0
1305,5,59,1,0
1306,4,59,1,0
1307,5,59,1,0
1308,0,59,1,0
1309,5,59,1,0
1310,0,59,1,0
1311,5,59,1,0
1312,5,59,1,0
1313,0,59,1,0
1314,0,59,1,0
1315,0,59,1,0
1316,0,59,1,0
1317,5,59,1,0
1318,1,59,1,0
1319,4,59,1,0
1320,0,59,1,0
1321,5,59,1,0
1322,3,59,1,0
1323,0,59,1,0
1324,0,59,1,0
1325,2,59,1,0
1326,3,59,1,0
1327,0,59,1,0
1328,5,59,1,0
1329,0,59,1,0
1330,5,59,1,0
1331,1,59,1,1
1332,0,59,1,0
1333,5,59,1,0
1334,5,58,1,0
1335,2,58,1,0
1336,5,58,1,0
1337,5,58,1,0
1338,1,58,1,0
1339,5,58,1,0
1340,5,58,1,0
1341,5,58,1,0
1342,3,58,1,0
1343,2,58,1,0
1344,0,58,1,0
1345,5,58,1,0
1346,5,58,1,0
1347,4,58,1,0
1348,0,58,1,0
1349,0,58,1,0
1350,5,58,1,0
1351,5,58,1,0
1352,0,58,1,0
1353,4,58,1,0
